name,scope,other_names,location_found,pattern_type,pattern,confidence_no_fp,expected_countries,source,exp_url,notes
ooni.id_42,isp,cl.dns_isp_id_sehat_tri_ip,dns,full,116.206.10.31,5,ID,ooni,https://explorer.ooni.org/measurement/20200329T090119Z_AS45727_GqQe4DZduLsSaYZB6qnqeMpsNgJn7dTvEaoEFZ0eGGmjyBoQG4?input=https://www.scruff.com/,"Indonesian ISP Tri blockpage, matches on the IP"
ooni.id_43,isp,cl.dns_isp_id_sehat_telkom_uzone,dns,full,36.86.63.185,5,ID,ooni,https://explorer.ooni.org/measurement/20171025T095349Z_AS131709_vvCnDreaVjMN1MQ2imNyl4ynBG4EhIZRdWHJIBKgOexJSnaWcb?input=http://www.bglad.com,Indonesian ISP Telkom Uzone sehat blockpage
ooni.id_44,isp,cl.dns_isp_id_sehat_telkom_uzone_mercusuar,dns,full,internet-positif.org,5,ID,ooni,https://explorer.ooni.org/measurement/20191114T004142Z_AS17974_zSo1qO4rG5Isd8Rr2WGTHYV4hwK9jeGkR201ACNu7np3CxXqOQ?input=http://ilga.org/,Indonesian ISP Telkom Uzone sehat blockpage. Mercusuar (lighthouse) is a branding of Telkomsel's Uzone. This matches the CNAME record but IP was 118.97.116.27 at the time observed.
ooni.id_45,isp,cl.dns_isp_id_sehat_telkom_bltsel_cname,dns,full,mypage.blocked.bltsel,5,ID,ooni,https://explorer.ooni.org/measurement/20191114T004142Z_AS17974_zSo1qO4rG5Isd8Rr2WGTHYV4hwK9jeGkR201ACNu7np3CxXqOQ?input=http://ilga.org/,Indonesian ISP Telkom blockpage. This is to match against the variant where Telkomsel DNS reply to this CNAME and was on IP 114.121.254.4
ooni.id_46,isp,cl.dns_isp_id_sehat_telkom_bltsel_ip,dns,full,114.121.254.4,5,ID,ooni,https://explorer.ooni.org/measurement/20191114T004142Z_AS17974_zSo1qO4rG5Isd8Rr2WGTHYV4hwK9jeGkR201ACNu7np3CxXqOQ?input=http://ilga.org/,Indonesian ISP Telkom blockpage. This is to match against the variant where Telkomsel DNS reply to CNAME mypage.blocked.bltsel and IP 114.121.254.4
ooni.id_47,isp,cl.dns_isp_id_sehat_tri_blockpage,dns,full,180.214.232.61,5,ID,ooni,https://explorer.ooni.org/measurement/20170307T194134Z_AS45727_gEN976jgNQgOx6CuLiiYDb2flPY8CpNtRPcnrHTwjggcats4At?input=http://www.gay.com,Indonesian ISP Tri sehat blockpage.
ooni.id_48,isp,cl.dns_isp_id_sehat_bolt_block,dns,full,202.62.29.1,5,ID,ooni,https://explorer.ooni.org/measurement/20170213T013637Z_AS4832_Y8ct5af944VzPhrMoeoll3Ap7MtHL97R2JBO0lEHto45vPYwFQ?input=http://www.gayscape.com,Indonesian ISP Bolt
ooni.id_49,isp,cl.dns_isp_id_sehat_myrepublic_block,dns,full,103.47.132.195,5,ID,ooni,https://explorer.ooni.org/measurement/20170916T151028Z_AS63859_OMzXkgk31oMZMCyxyswHDc9s7PcHYUDMAm8BEsKSmcioamnK0f?input=http://www.gayscape.com,Indonesian ISP My Republic
ooni.id_50,isp,cl.dns_isp_id_sehat_cbn_block,dns,full,internetsehataman.cbn.net.id,5,ID,ooni,https://explorer.ooni.org/measurement/20190420T092536Z_AS135478_mLOlXUu4n0QwTV10X6nqZYFwh9aQga4i4fPo9fMomwk2IMV6Le?input=http://transsexual.org/,Indonesian ISP CBN
ooni.id_51,isp,cl.dns_isp_id_sehat_xl_block,dns,full,blockpage.xl.co.id,5,ID,ooni,https://explorer.ooni.org/measurement/20180324T031959Z_AS24203_oRMW0HPO6Z2u3lkA8d4uROtqX2fuKU6XH8ARB0JtGanxPSHX3L?input=https://www.scruff.com/,Indonesian ISP XL blockpage. This is to match against the CNAME IP was 112.215.197.131
